dest_ip,metadata_comment
192.87.248.0/21,AS1102 IPv4
192.87.86.0/24,AS1102 IPv4
192.87.56.0/23,AS1102 IPv4
2001:678:230::/48,AS1102 IPv6
192.42.121.0/24,AS1102 IPv4
192.87.12.0/22,AS1102 IPv4
192.87.55.0/24,AS1102 IPv4
192.87.76.0/23,AS1102 IPv4
2001:610:511::/48,AS1102 IPv6
192.87.88.0/24,AS1102 IPv4
192.87.28.0/24,AS1102 IPv4
192.87.82.0/24,AS1102 IPv4
192.87.42.0/23,AS1102 IPv4
192.87.91.0/24,AS1102 IPv4
192.42.132.0/24,AS1102 IPv4
192.87.20.0/23,AS1102 IPv4
192.87.99.0/24,AS1102 IPv4
192.87.222.0/24,AS1102 IPv4
192.87.84.0/23,AS1102 IPv4
192.87.52.0/23,AS1102 IPv4
194.104.0.0/24,AS1102 IPv4
194.171.41.0/24,AS1102 IPv4
192.87.200.0/21,AS1102 IPv4
192.87.2.0/24,AS1102 IPv4
192.87.48.0/24,AS1102 IPv4
192.87.24.0/22,AS1102 IPv4
192.87.144.0/22,AS1102 IPv4
192.87.73.0/24,AS1102 IPv4
192.87.58.0/24,AS1102 IPv4
192.87.232.0/21,AS1102 IPv4
192.87.8.0/23,AS1102 IPv4
192.87.132.0/22,AS1102 IPv4
192.87.47.0/24,AS1102 IPv4
192.87.80.0/23,AS1102 IPv4
192.87.228.0/22,AS1102 IPv4
192.87.70.0/23,AS1102 IPv4
192.87.192.0/22,AS1102 IPv4
192.87.240.0/20,AS1102 IPv4
192.42.122.0/23,AS1102 IPv4
145.0.3.0/24,AS1102 IPv4
194.171.17.0/24,AS1102 IPv4
