dest_ip,dest_port
152.53.168.53,18434
138.68.21.132,40467
51.75.126.150,54612
152.53.168.53,65013
192.241.156.17,1080
64.227.131.240,1080
31.129.147.102,1080
57.129.81.201,1080
159.65.128.194,1080
81.177.224.173,1337
104.248.197.67,1080
47.93.12.128,12120
84.17.27.253,9105
121.169.46.116,1090
43.133.37.149,1080
104.248.203.234,1080
95.211.19.96,8001
68.183.186.140,1080
98.152.200.61,8081
111.173.89.109,1080
64.226.85.75,1080
139.59.24.173,1080
97.74.233.64,45780
93.182.26.66,1080
188.128.86.74,1080
159.138.157.44,8081
65.108.251.40,49594
222.59.173.105,44020
205.209.113.242,1080
149.202.94.235,9060
152.53.171.242,52033
143.110.190.60,1080
192.95.33.162,1129
110.42.42.64,5555
117.250.3.58,8080
45.146.130.16,31979
178.70.175.242,1080
209.38.83.56,1088
112.91.141.121,9001
