dest_ip,dest_port,metadata_comment
193.68.115.14,8080,proxylist.txt
213.250.198.66,4145,proxylist.txt
103.61.116.138,5678,proxylist.txt
45.166.93.113,999,proxylist.txt
72.195.34.60,27391,proxylist.txt
192.252.216.86,4145,proxylist.txt
192.111.139.162,4145,proxylist.txt
162.253.68.97,4145,proxylist.txt
200.43.231.17,4145,proxylist.txt
45.131.7.38,80,proxylist.txt
199.58.184.97,4145,proxylist.txt
68.71.254.6,4145,proxylist.txt
104.200.135.46,4145,proxylist.txt
98.188.47.150,4145,proxylist.txt
184.170.245.148,4145,proxylist.txt
192.252.214.20,15864,proxylist.txt
192.252.208.67,14287,proxylist.txt
45.131.4.13,80,proxylist.txt
172.67.175.148,80,proxylist.txt
45.131.4.105,80,proxylist.txt
141.101.121.94,80,proxylist.txt
45.12.30.18,80,proxylist.txt
172.67.254.135,80,proxylist.txt
141.101.121.56,80,proxylist.txt
141.101.123.175,80,proxylist.txt
141.101.123.56,80,proxylist.txt
173.245.58.158,80,proxylist.txt
185.162.231.32,80,proxylist.txt
161.35.70.249,8080,proxylist.txt
67.201.39.14,4145,proxylist.txt
66.42.224.229,41679,proxylist.txt
104.200.152.30,4145,proxylist.txt
98.181.137.83,4145,proxylist.txt
47.74.157.194,80,proxylist.txt
4.245.123.244,80,proxylist.txt
144.24.200.164,80,proxylist.txt
47.252.29.28,11222,proxylist.txt
172.64.33.61,80,proxylist.txt
181.214.1.204,80,proxylist.txt
160.153.0.22,80,proxylist.txt
188.42.89.174,80,proxylist.txt
141.101.123.136,80,proxylist.txt
141.101.90.97,80,proxylist.txt
141.101.121.204,80,proxylist.txt
195.85.23.173,80,proxylist.txt
63.141.128.215,80,proxylist.txt
190.104.26.227,33638,proxylist.txt
67.201.58.190,4145,proxylist.txt
139.59.1.14,80,proxylist.txt
142.54.232.6,4145,proxylist.txt
107.181.168.145,4145,proxylist.txt
128.199.202.122,8080,proxylist.txt
98.181.137.80,4145,proxylist.txt
192.111.139.165,4145,proxylist.txt
72.223.188.92,4145,proxylist.txt
192.252.220.92,17328,proxylist.txt
66.36.234.130,1339,proxylist.txt
154.118.231.30,80,proxylist.txt
181.174.164.221,80,proxylist.txt
133.18.234.13,80,proxylist.txt
82.102.10.253,80,proxylist.txt
185.82.218.85,80,proxylist.txt
4.195.16.140,80,proxylist.txt
32.223.6.94,80,proxylist.txt
50.122.86.118,80,proxylist.txt
172.67.75.203,80,proxylist.txt
8.219.77.141,80,proxylist.txt
185.162.230.167,80,proxylist.txt
181.214.1.13,80,proxylist.txt
172.64.90.186,80,proxylist.txt
23.227.38.94,80,proxylist.txt
141.101.122.113,80,proxylist.txt
192.73.244.36,80,proxylist.txt
68.185.57.66,80,proxylist.txt
192.252.211.193,4145,proxylist.txt
74.119.147.209,4145,proxylist.txt
24.249.199.4,4145,proxylist.txt
198.199.86.11,8080,proxylist.txt
141.101.90.96,80,proxylist.txt
141.101.121.227,80,proxylist.txt
141.101.120.230,80,proxylist.txt
115.127.132.225,1080,proxylist.txt
172.67.72.64,80,proxylist.txt
173.245.49.83,80,proxylist.txt
119.148.39.241,9990,proxylist.txt
121.169.46.116,1090,proxylist.txt
117.161.170.163,9489,proxylist.txt
47.243.203.58,1100,proxylist.txt
47.238.2.180,1100,proxylist.txt
139.59.1.14,1080,proxylist.txt
47.243.94.125,1080,proxylist.txt
85.111.94.98,15858,proxylist.txt
209.97.150.167,1080,proxylist.txt
139.162.78.109,1080,proxylist.txt
85.111.94.98,15833,proxylist.txt
85.111.94.98,38121,proxylist.txt
38.188.178.1,999,proxylist.txt
14.97.132.226,5678,proxylist.txt
192.111.137.34,18765,proxylist.txt
185.86.5.162,8975,proxylist.txt
209.97.150.167,80,proxylist.txt
192.252.220.89,4145,proxylist.txt
107.152.98.5,4145,proxylist.txt
72.195.34.35,27360,proxylist.txt
134.209.29.120,8080,proxylist.txt
185.162.230.76,80,proxylist.txt
172.67.175.147,80,proxylist.txt
8.47.69.6,80,proxylist.txt
185.162.231.56,80,proxylist.txt
63.141.128.116,80,proxylist.txt
108.162.198.167,80,proxylist.txt
141.101.123.207,80,proxylist.txt
185.238.228.121,80,proxylist.txt
209.46.30.38,80,proxylist.txt
188.114.96.213,80,proxylist.txt
188.166.230.109,31028,proxylist.txt
45.131.5.127,80,proxylist.txt
103.160.204.183,80,proxylist.txt
23.227.38.149,80,proxylist.txt
210.16.86.105,5678,proxylist.txt
172.67.94.15,80,proxylist.txt
172.67.70.130,80,proxylist.txt
45.131.6.29,80,proxylist.txt
188.114.96.56,80,proxylist.txt
104.37.135.145,4145,proxylist.txt
199.58.185.9,4145,proxylist.txt
192.111.139.163,19404,proxylist.txt
192.111.134.10,4145,proxylist.txt
190.58.248.86,80,proxylist.txt
189.202.188.149,80,proxylist.txt
185.162.231.113,80,proxylist.txt
213.143.113.82,80,proxylist.txt
202.146.230.102,8080,proxylist.txt
154.65.39.7,80,proxylist.txt
186.251.253.53,31337,proxylist.txt
65.94.196.19,5678,proxylist.txt
200.122.92.211,5678,proxylist.txt
190.5.234.34,5678,proxylist.txt
103.174.178.138,1144,proxylist.txt
199.102.107.145,4145,proxylist.txt
192.252.215.5,16137,proxylist.txt
72.37.217.3,4145,proxylist.txt
199.116.112.6,4145,proxylist.txt
98.175.31.195,4145,proxylist.txt
184.170.248.5,4145,proxylist.txt
70.166.167.55,57745,proxylist.txt
74.119.144.60,4145,proxylist.txt
64.110.82.7,8080,proxylist.txt
119.3.113.151,9094,proxylist.txt
91.192.25.158,4145,proxylist.txt
115.231.181.40,8128,proxylist.txt
98.178.72.21,10919,proxylist.txt
68.1.210.163,4145,proxylist.txt
107.181.161.81,4145,proxylist.txt
47.254.230.91,1100,proxylist.txt
185.176.26.214,80,proxylist.txt
185.162.228.123,80,proxylist.txt
78.38.84.85,1080,proxylist.txt
31.128.41.253,18080,proxylist.txt
103.140.74.200,5678,proxylist.txt
98.191.0.37,4145,proxylist.txt
