dest_ip,dest_port,metadata_comment
20.13.34.208,8118,http
94.23.83.149,4153,socks4
134.209.29.120,3128,http
45.128.133.205,1080,socks4
45.87.251.161,8004,socks5
85.237.62.189,3629,socks4
176.126.103.194,44214,http
77.238.79.111,5678,socks4
213.250.198.66,4145,socks4
213.149.154.213,5678,socks4
89.169.36.109,1080,socks5
83.220.46.106,4145,socks4
95.178.108.189,5678,socks4
57.129.81.201,8081,http
51.159.159.73,80,http
46.8.60.2,1080,socks4
209.97.150.167,80,http
213.147.123.47,1080,socks5
31.14.114.70,1081,http
209.97.150.167,3128,http
66.36.234.130,1339,http
62.201.212.198,4673,socks4
185.4.29.243,7887,http
46.107.230.122,1080,socks4
23.237.210.82,80,http
70.60.132.130,5678,socks4
38.127.172.111,24171,http
64.64.152.248,39593,socks4
185.30.43.65,60606,socks4
57.129.81.201,8080,http
77.105.137.42,8080,http
194.190.169.197,3701,socks5
57.129.81.201,3128,http
185.54.178.193,1080,socks5
57.129.81.201,999,http
205.185.113.92,1080,socks4
187.172.10.104,8080,http
138.68.60.8,3128,http
63.141.249.242,8888,http
57.129.81.201,1080,socks4
38.127.172.157,24171,http
138.68.60.8,8080,http
139.162.78.109,3128,http
121.66.105.19,51080,socks4
36.64.27.123,5678,socks4
152.53.194.46,8065,http
45.167.126.1,8080,http
213.32.104.189,8080,http
144.22.226.134,3128,http
140.238.184.182,3128,http
205.185.113.92,1080,socks5
43.252.237.98,4145,socks4
96.126.98.217,9090,socks5
87.107.48.53,1080,socks5
139.162.78.109,80,http
38.51.233.146,60606,socks4
38.127.172.202,24171,http
27.121.101.5,5678,socks4
200.81.127.113,4153,socks4
213.197.136.218,5678,socks4
38.127.172.85,24171,http
201.148.125.126,4153,socks4
85.89.184.87,5678,socks4
41.223.119.156,3128,http
202.40.178.234,1080,socks5
45.128.133.141,1080,socks4
47.90.205.231,33333,http
51.178.68.226,46753,socks5
200.174.198.86,8888,http
36.37.244.41,5678,socks4
38.127.172.250,24171,http
179.96.28.58,80,http
37.26.86.206,4145,socks4
185.41.152.110,3128,http
91.84.99.28,80,http
213.178.39.170,8080,http
103.80.210.116,5678,socks4
37.255.183.2,5678,socks4
50.96.204.51,18351,socks4
8.219.97.248,80,http
96.70.52.227,48324,socks4
46.34.165.86,443,http
152.53.39.66,8041,http
43.248.25.6,4145,socks4
75.41.145.46,5678,socks4
65.49.67.161,48324,socks4
87.229.205.227,8080,http
64.92.82.61,8081,http
85.102.10.94,4153,socks4
45.249.77.145,83,http
128.199.202.122,8080,http
176.9.164.117,60011,http
201.93.159.234,4145,socks4
203.162.13.26,6868,http
139.59.1.14,3128,http
201.54.176.64,8080,http
36.95.231.205,5678,socks4
47.238.205.61,8888,socks5
80.90.84.5,8080,http
8.219.198.197,1100,socks5
91.247.250.215,4145,socks4
77.46.138.1,33608,socks4
85.119.120.55,8080,http
31.131.135.247,4153,socks4
36.67.88.77,4153,socks4
81.12.169.254,4153,socks4
84.2.239.42,4153,socks4
47.251.43.115,33333,http
49.48.84.178,8080,http
91.187.121.211,2080,socks4
212.47.229.46,16379,socks5
176.9.164.117,60002,http
41.223.234.116,37259,socks4
103.86.135.34,5678,socks4
45.174.95.142,999,http
176.9.164.117,60016,socks5
116.118.98.26,5678,socks4
176.9.164.117,60016,http
79.106.170.126,4145,socks4
197.232.43.224,1080,socks4
38.127.172.204,24171,http
50.96.204.48,18351,socks4
51.79.99.237,4502,http
192.158.15.201,50877,socks4
197.248.201.97,8080,http
212.200.231.10,5030,http
38.127.172.206,24171,http
8.218.206.98,1100,socks5
51.15.210.190,16379,socks5
82.223.165.28,38245,socks5
45.115.115.37,9090,socks4
203.172.225.227,8080,http
38.127.172.110,24171,http
222.165.234.147,52667,socks4
103.160.56.5,10101,socks4
77.238.103.98,8080,http
201.221.134.74,5678,socks4
45.128.133.145,1080,socks4
197.243.27.122,3128,http
27.147.129.26,5050,http
38.172.131.64,999,http
45.128.133.253,1080,socks4
38.194.251.180,999,http
5.172.188.97,48293,socks4
203.112.223.126,5678,socks4
89.117.145.245,3128,http
65.94.196.19,5678,socks4
86.109.3.23,10005,http
103.174.178.138,1144,socks5
38.127.172.163,24171,http
91.204.74.90,1080,http
36.94.110.49,5678,socks4
8.212.165.33,3333,http
197.156.240.66,5678,socks4
13.211.233.22,36619,http
