metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1750507230.2709,elite,94.076142465618,1720503627.2372,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Washington,North America,,United States,US,,True,"Cloudflare, Inc.",38.9072,-77.0369,False,"CloudFlare, Inc.",False,District of Columbia,success,America/New_York,20068,1755329051,1755592543.5335,80,http,141.101.115.244:80,False,35.906791687012,31508,1971,94.112727381344,141.101.115.244
True,1754366722.701,elite,94.811576454441,1742334176.4365,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,False,Hesse,success,Europe/Berlin,60313,1755442291,1755592543.0429,80,http,102.177.176.132:80,False,48.969268798828,31193,3448,90.04647671834,102.177.176.132
True,1754368512.0006,elite,95.049792449246,1720479687.127,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,London,Europe,EU,United Kingdom,GB,,True,Invermae Solutions SL,51.5072,-0.127586,False,Invermae Solutions SL,False,England,success,Europe/London,W1B,1755350467,1755592542.9742,80,http,185.238.228.169:80,False,47.534704208374,31428,2179,93.516231737436,185.238.228.169
True,1753675397.2926,elite,94.766213676169,1742412196.994,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,New York,North America,,United States,US,,True,"Cloudflare London, LLC",40.7191,-74.0091,False,Olo Inc,False,New York,success,America/New_York,10013,1755429535,1755592542.9011,80,http,216.205.52.255:80,False,47.724485397339,31059,916,97.135261923378,216.205.52.255
True,1754368193.0107,elite,93.560536737102,1734995343.6553,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1755342291,1755592542.8857,80,http,108.162.195.129:80,False,25.165796279907,32134,1036,96.876695809466,108.162.195.129
True,1753675337.5907,elite,94.668408181548,1720500963.5724,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,London,Europe,EU,United Kingdom,GB,,True,CLOUDFLARE,51.5072,-0.127586,False,,False,England,success,Europe/London,W1B,1755538145,1755592542.8286,80,http,141.101.120.140:80,False,27.359485626221,32021,5264,85.881721872067,141.101.120.140
True,1754369004.8365,elite,95.220698261591,1742340372.9198,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Singapore,Asia,AS,Singapore,SG,Central Water Catchment,True,"Cloudflare London, LLC",1.35208,103.82,False,Tang Dynastic Technology Pte. LTD,False,North West,success,Asia/Singapore,858877,1755440530,1755592542.6037,80,http,45.8.211.132:80,False,48.675775527954,31523,3485,90.045132541133,45.8.211.132
True,1750609692.3712,elite,96.089232735598,1722917599.3393,"AS13335 Cloudflare, Inc.",CLOUDFLARENET,Toronto,North America,,Canada,CA,,True,"Cloudflare, Inc.",43.6532,-79.3832,False,"Cloudflare, Inc.",False,Ontario,success,America/Toronto,M5A,1755449315,1755592542.3753,80,http,108.162.192.87:80,False,35.448789596558,31961,3876,89.184362530346,108.162.192.87
True,1753675424.4839,elite,94.915242892168,1742332705.8107,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,False,Hesse,success,Europe/Berlin,60313,1755396794,1755592542.3743,80,http,102.177.176.167:80,False,44.624328613281,30876,892,97.192143037018,102.177.176.167
True,1754367479.5772,elite,95.705049240409,1742522786.4264,AS14197 HEALTH MARKET SCIENCE,HMS-ASN,Boca Raton,North America,,United States,US,,False,Health Market Science,26.4076,-80.0977,False,LexisNexis Risk Data Management Inc,False,Florida,success,America/New_York,33487,1755449254,1755592542.3249,80,http,69.84.182.171:80,False,66.421508789062,31687,3037,91.253887800945,69.84.182.171
True,1754303742.4073,elite,95.690243983425,1742333580.9948,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Frankfurt am Main,Europe,EU,Germany,DE,,True,Gerondata LTD,50.1109,8.68213,False,Gerondata LTD,False,Hesse,success,Europe/Berlin,60313,1755439906,1755592542.3088,80,http,102.177.176.87:80,False,57.189226150513,31122,3305,90.399976762425,102.177.176.87
True,1750507200.3717,elite,94.355994955435,1742765474.3965,"AS209242 Cloudflare London, LLC",CLOUDFLARESPECTRUM,Vilnius,Europe,EU,Lithuania,LT,,True,Lrtc Network,54.6884,25.2152,False,"SC ""Lithuanian Radio and TV Center""",False,Vilnius,success,Europe/Vilnius,04347,1755346539,1755592542.2197,80,http,89.116.250.166:80,False,71.123600006104,32476,3412,90.492643780651,89.116.250.166
