alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1789566183.0151,elite,51.16602091917,1789369174.2922,"AS16276 OVH SAS",OVH,"Limburg an der Lahn",Europe,EU,Germany,DE,,true,"OVH SAS",50.3986,8.07958,false,"OVH GmbH",false,Hesse,success,Europe/Berlin,65550,1789366704,1789582043.0933,1080,socks5,135.125.232.151:1080,true,25.649070739746,4480,19,99.577683929762,135.125.232.151
true,1789581984.6896,elite,2551.1550497622,1769020419.8555,"AS31200 Novotelecom Ltd",NTK,Novosibirsk,Europe,EU,Russia,RU,,false,"Novotelecom Ltd",55.0386,82.9425,false,"Novotelecom ltd.",true,"Novosibirsk Oblast",success,Asia/Novosibirsk,630000,1789370738,1789582042.469,1090,socks4,37.193.125.68:1090,true,408.63347053528,375377,285683,56.784104317309,37.193.125.68
true,1789580340.2321,elite,860.17705251773,1789575062.3272,"AS24940 Hetzner Online GmbH",HETZNER-AS,"Frankfurt Am Main",Europe,EU,Germany,DE,,true,"Hetzner Online AG",50.094,8.4971,false,"Hetzner Online AG",false,Hesse,success,Europe/Berlin,65931,1789573244,1789582042.2679,40001,socks5,91.107.152.68:40001,true,658.09750556946,96,8,92.307692307692,91.107.152.68
true,1789581956.1732,elite,2535.3765378636,1776082506.009,"AS12302 Vodafone Romania S.A.",Vodafone_Ro,Cârţişoara,Europe,EU,Romania,RO,,false,"Vodafone RO",45.7167,24.5833,false,"MobiFon S.A.",true,"Sibiu County",success,Europe/Bucharest,557075,1789384280,1789582042.0951,5678,socks4,81.12.157.98:5678,true,190.11569023132,380062,289276,56.781775425869,81.12.157.98
true,1789582016.4491,elite,3081.7751857118,1788844374.655,"AS138524 Triple T Broadband Public Company Limited",TTBP-AS-AP,Bangkok,Asia,AS,Thailand,TH,,false,"Triple T Broadband Public Company Limited",13.8177,100.7465,false,"Triple T Broadband Public Company Limited",true,Bangkok,success,Asia/Bangkok,10510,1789448335,1789582042.0932,5678,socks4,180.183.149.236:5678,true,1002.3193359375,48156,12252,79.717918156536,180.183.149.236
true,1789423289.627,elite,582.67871581783,1785990052.3383,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Charlottesville,"North America",NA,"United States",US,,true,"Alibaba.com LLC",37.4316,-78.6569,false,"Midwest Cable, Delta Centric LLC, Zenlayer Inc",true,Virginia,success,America/New_York,22902,1789013164,1789582041.6349,3128,http,47.85.161.37:3128,false,227.87618637085,65825,524,99.210236778248,47.85.161.37
true,1789581705.4764,elite,3677.2077704819,1789539050.4259,"AS219326 SULAVI LTD",SULAVIL,Eygelshoven,Europe,EU,"The Netherlands",NL,,true,"Secure Internet LLC",50.8933,6.05805,false,"Internet Security - AU",true,Limburg,success,Europe/Amsterdam,6471,1789537568,1789582041.576,10311,socks5,45.74.31.22:10311,true,1422.1141338348,142,266,34.803921568627,45.74.31.22
true,1789582041.3743,elite,1127.0651889666,1776081905.9687,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1789384948,1789582041.3743,11288,socks5,184.170.251.30:11288,true,926.16391181946,96642,82295,54.008952871681,184.170.251.30
true,1789581331.9323,elite,241.40777448231,1789573154.8003,"AS24940 Hetzner Online GmbH",HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,true,"Hetzner Online GmbH",60.1719,24.9347,false,"Hetzner Online GmbH",false,Uusimaa,success,Europe/Helsinki,00221,1789573155,1789582041.2469,40001,socks4,62.238.56.221:40001,true,209.29908752441,478,203,70.190895741557,62.238.56.221
true,1789581101.7648,elite,3902.6493087482,1787542457.8497,"AS136958 China Unicom Guangdong IP network",UNICOM-GuangZhou-IDC,Guangzhou,Asia,AS,China,CN,"Tianhe Qu",false,"China Unicom Guangdong IP network",23.1417,113.342,false,"Guangdong LITONG Network Technology Limited",true,Guangdong,success,Asia/Shanghai,510000,1789353565,1789582041.2411,1080,socks5,103.210.161.8:1080,true,1820.0438022614,75508,4315,94.594289866329,103.210.161.8
true,1789582041.1262,elite,3234.8434348833,1776088344.5239,"AS23969 TOT Public Company Limited",TOT-NET,Bangkok,Asia,AS,Thailand,TH,,false,"TOT Public Company Limited",13.7101,100.4543,false,"TOT Public Company Limited",true,Bangkok,success,Asia/Bangkok,10110,1789391721,1789582041.1262,4153,socks4,125.25.57.57:4153,true,1882.3347091675,296477,315156,48.473022220842,125.25.57.57
true,1789582003.541,elite,2503.3672962929,1784123507.1488,"AS48971 DATAWIRE AG",DATAWIRE-AS,Wädenswil,Europe,EU,Switzerland,CH,,false,netz116,47.2258,8.66224,false,"Rolf Tschumi (MGW Online)",true,Zurich,success,Europe/Zurich,8820,1789566576,1789582041.0329,4145,socks4,195.225.116.15:4145,true,1052.3138046265,53287,156473,25.40379481312,195.225.116.15
